"lat","long","radius","search.twitter.entry","number.of.tweets"
46.0211452469716,-96.1041663598298,"100mi","46.0211452469716,-96.1041663598298,100mi",66
45.7368143179358,-73.0323843031504,"100mi","45.7368143179358,-73.0323843031504,100mi",280
37.067928385896,-76.7820561229612,"100mi","37.067928385896,-76.7820561229612,100mi",1000
27.0474317210341,-88.0786039306639,"100mi","27.0474317210341,-88.0786039306639,100mi",0
26.2391682325123,-112.680144832052,"100mi","26.2391682325123,-112.680144832052,100mi",3
43.9281357123354,-68.0792161301709,"100mi","43.9281357123354,-68.0792161301709,100mi",110
46.2251100646732,-89.4251623294918,"100mi","46.2251100646732,-89.4251623294918,100mi",59
40.0601002378474,-84.668088336106,"100mi","40.0601002378474,-84.668088336106,100mi",1000
41.7890564981777,-118.325466761503,"100mi","41.7890564981777,-118.325466761503,100mi",1
46.1437452838991,-73.424444596398,"100mi","46.1437452838991,-73.424444596398,100mi",249
27.0080030150357,-92.8407812017428,"100mi","27.0080030150357,-92.8407812017428,100mi",0
38.1606441025574,-76.6537569091226,"100mi","38.1606441025574,-76.6537569091226,100mi",1000
31.7093990070856,-70.1259741468687,"100mi","31.7093990070856,-70.1259741468687,100mi",0
34.1271247970786,-78.0516613008857,"100mi","34.1271247970786,-78.0516613008857,100mi",198
36.4490561018263,-89.4044318455163,"100mi","36.4490561018263,-89.4044318455163,100mi",231
42.3187529685839,-109.161217672571,"100mi","42.3187529685839,-109.161217672571,100mi",7
42.7759358929032,-68.7171690416953,"100mi","42.7759358929032,-68.7171690416953,100mi",47
28.8561286338517,-72.4262147371064,"100mi","28.8561286338517,-72.4262147371064,100mi",0
30.8477486016768,-114.262123838464,"100mi","30.8477486016768,-114.262123838464,100mi",4
29.222123309286,-74.9513803264154,"100mi","29.222123309286,-74.9513803264154,100mi",0
38.8667502707901,-76.3583905576421,"100mi","38.8667502707901,-76.3583905576421,100mi",1000
40.421069039272,-111.034562123501,"100mi","40.421069039272,-111.034562123501,100mi",200
44.6177656754003,-111.727831368077,"100mi","44.6177656754003,-111.727831368077,100mi",26
46.2867807389646,-105.139281983335,"100mi","46.2867807389646,-105.139281983335,100mi",2
31.7871516746182,-117.993220244633,"100mi","31.7871516746182,-117.993220244633,100mi",740
40.6030711187417,-91.2624086258338,"100mi","40.6030711187417,-91.2624086258338,100mi",419
36.8005456085008,-88.0257167739925,"100mi","36.8005456085008,-88.0257167739925,100mi",666
34.3373193929926,-78.122006109416,"100mi","34.3373193929926,-78.122006109416,100mi",273
45.7755537482068,-100.865400592559,"100mi","45.7755537482068,-100.865400592559,100mi",22
34.7015415779408,-78.0310078932595,"100mi","34.7015415779408,-78.0310078932595,100mi",983
25.923788948243,-95.8812160032826,"100mi","25.923788948243,-95.8812160032826,100mi",248
49.0206430399099,-98.9165594874844,"100mi","49.0206430399099,-98.9165594874844,100mi",298
34.7794261526604,-112.959131699165,"100mi","34.7794261526604,-112.959131699165,100mi",642
31.3445649209664,-72.803837321078,"100mi","31.3445649209664,-72.803837321078,100mi",0
47.7086513721462,-80.5109415989602,"100mi","47.7086513721462,-80.5109415989602,100mi",7
43.1165684010906,-100.119461939734,"100mi","43.1165684010906,-100.119461939734,100mi",12
47.8067462901647,-94.077495322331,"100mi","47.8067462901647,-94.077495322331,100mi",216
